internalField   nonuniform List<vector>
1280
(
(256557 -6.16284e+06 -405486)
(-191174 -5.79427e+06 743217)
(-200877 -5.70778e+06 192440)
(-220985 -5.72278e+06 -198974)
(-67544.2 -5.72933e+06 -354491)
(20334.8 -5.87299e+06 -412400)
(165905 -6.04138e+06 -424861)
(-157711 -5.77885e+06 871533)
(-102772 -5.65279e+06 223104)
(-157888 -5.66544e+06 -229317)
(-5107.07 -5.64043e+06 -437398)
(50941.6 -5.76145e+06 -482128)
(164019 -5.94784e+06 -498166)
(241881 -6.09756e+06 -479645)
(-159535 -5.78411e+06 872779)
(-93645.3 -5.65387e+06 213290)
(-148325 -5.66952e+06 -239386)
(6438.11 -5.64526e+06 -447685)
(63413.6 -5.76951e+06 -492538)
(177391 -5.95679e+06 -507242)
(255884 -6.10533e+06 -488227)
(-160973 -5.7903e+06 873469)
(-85261.5 -5.6557e+06 203516)
(-139508 -5.67399e+06 -249132)
(17526.5 -5.65152e+06 -457228)
(75417.4 -5.7789e+06 -501997)
(190108 -5.96731e+06 -515372)
(-162003 -5.79623e+06 873281)
(-79604.2 -5.65899e+06 195441)
(-133815 -5.67853e+06 -257341)
(25667 -5.658e+06 -464732)
(84388.9 -5.78865e+06 -508998)
(200325 -5.97878e+06 -521326)
(-131046 -5.78797e+06 984780)
(-130752 -5.79326e+06 985327)
(-22472 -5.6647e+06 239327)
(-40079.2 -5.62874e+06 -273209)
(72695.5 -5.60272e+06 -519110)
(120900 -5.70349e+06 -554088)
(204793 -5.89812e+06 -568269)
(267763 -6.05898e+06 -547465)
(-128805 -5.79948e+06 985384)
(-14377.7 -5.66903e+06 224205)
(-27870.5 -5.63304e+06 -285442)
(84851.1 -5.6069e+06 -528967)
(133918 -5.71192e+06 -564522)
(217932 -5.90805e+06 -577605)
(-124346 -5.80656e+06 984763)
(-6770.67 -5.67432e+06 209605)
(-16534.1 -5.63783e+06 -297135)
(97305.2 -5.61309e+06 -538918)
(146625 -5.72216e+06 -574317)
(230509 -5.91989e+06 -586386)
(-119825 -5.8135e+06 982492)
(-1361.98 -5.67825e+06 196200)
(-8861.61 -5.64189e+06 -307145)
(106850 -5.61957e+06 -547610)
(156342 -5.73225e+06 -581980)
(240460 -5.93244e+06 -593137)
(-52575.9 -5.79736e+06 1.02436e+06)
(-41447.1 -5.8013e+06 1.01619e+06)
(32741.3 -5.66047e+06 150966)
(53701.4 -5.59807e+06 -347041)
(133913 -5.58178e+06 -580403)
(181034 -5.67086e+06 -611973)
(241732 -5.86917e+06 -618051)
(-28185.4 -5.80576e+06 1.00727e+06)
(41154.6 -5.662e+06 135284)
(66431.7 -5.60107e+06 -360807)
(146551 -5.5845e+06 -590192)
(194043 -5.67882e+06 -621907)
(254506 -5.87953e+06 -627419)
(-15110.2 -5.81126e+06 997736)
(49298.4 -5.66498e+06 119715)
(77991.8 -5.60529e+06 -374165)
(159307 -5.58916e+06 -600288)
(206884 -5.68933e+06 -631601)
(266781 -5.89226e+06 -636604)
(-4327.5 -5.81609e+06 985542)
(55497.9 -5.66863e+06 103588)
(86443.1 -5.60923e+06 -386090)
(169287 -5.59579e+06 -609739)
(216938 -5.69995e+06 -639488)
(276463 -5.90564e+06 -643835)
(46469.8 -5.79895e+06 1.00349e+06)
(88395.7 -5.69491e+06 225394)
(55930.9 -5.80058e+06 988103)
(97556.5 -5.69391e+06 211411)
(157894 -5.57994e+06 -383584)
(192350 -5.56898e+06 -616666)
(231875 -5.65704e+06 -649610)
(272974 -5.85724e+06 -650636)
(65322.1 -5.80227e+06 971877)
(107947 -5.69302e+06 194039)
(169965 -5.58338e+06 -397301)
(205365 -5.57264e+06 -626572)
(245086 -5.66548e+06 -658588)
(285272 -5.86804e+06 -659231)
(74944.2 -5.80429e+06 954715)
(117370 -5.69308e+06 176319)
(181277 -5.58821e+06 -410413)
(218466 -5.57853e+06 -636638)
(258295 -5.6769e+06 -667296)
(297170 -5.88178e+06 -667629)
(82165.4 -5.8062e+06 936604)
(125251 -5.69489e+06 159864)
(190845 -5.59249e+06 -421265)
(229147 -5.58531e+06 -644969)
(268705 -5.68813e+06 -673903)
(306530 -5.89562e+06 -673823)
(55434.7 -5.75995e+06 873919)
(90417.5 -5.61643e+06 78615.2)
(183784 -5.54809e+06 -449309)
(60108.9 -5.75547e+06 845640)
(98763.6 -5.61353e+06 59227.4)
(194004 -5.54835e+06 -463375)
(208469 -5.5575e+06 -657563)
(251131 -5.6518e+06 -692291)
(289558 -5.85451e+06 -693155)
(63767.7 -5.75056e+06 816104)
(108133 -5.61142e+06 37287.3)
(204392 -5.54906e+06 -477793)
(220694 -5.5594e+06 -667310)
(263709 -5.65882e+06 -699349)
(301412 -5.8636e+06 -699926)
(65750.8 -5.74579e+06 787105)
(117049 -5.61089e+06 16294.9)
(214884 -5.55222e+06 -491847)
(233062 -5.56376e+06 -677090)
(276826 -5.66957e+06 -706019)
(313068 -5.87629e+06 -706367)
(67123.8 -5.74142e+06 763675)
(124809 -5.61062e+06 -735.991)
(223904 -5.55797e+06 -503353)
(242851 -5.57079e+06 -685808)
(287005 -5.68245e+06 -711548)
(322193 -5.89108e+06 -711727)
(427041 -6.06849e+06 -111800)
(604478 -6.10561e+06 -101550)
(776349 -6.1358e+06 -90047.4)
(937995 -6.15823e+06 -79681)
(1.09399e+06 -6.17316e+06 -70649.9)
(1.23702e+06 -6.18062e+06 -57817.9)
(1.36042e+06 -6.18137e+06 -41671.2)
(448427 -6.06536e+06 -113080)
(627336 -6.10316e+06 -102025)
(801165 -6.13353e+06 -90248.6)
(964009 -6.15619e+06 -79553.3)
(1.12046e+06 -6.1713e+06 -70060.1)
(1.26256e+06 -6.17917e+06 -56606.8)
(1.38367e+06 -6.18024e+06 -40113.2)
(469885 -6.06286e+06 -114058)
(650355 -6.10117e+06 -102233)
(826176 -6.13156e+06 -90214.3)
(990115 -6.15422e+06 -79195.8)
(1.14677e+06 -6.16923e+06 -69268)
(1.28758e+06 -6.17721e+06 -55235.5)
(488951 -6.0622e+06 -114454)
(672159 -6.10043e+06 -102057)
(850766 -6.13046e+06 -89975.7)
(1.01624e+06 -6.15262e+06 -78707.8)
(1.1734e+06 -6.16707e+06 -68375.4)
(1.31276e+06 -6.17437e+06 -53794.1)
(386807 -6.24277e+06 -267535)
(521232 -6.30954e+06 -257018)
(670175 -6.35371e+06 -249407)
(819488 -6.37951e+06 -244006)
(977993 -6.39716e+06 -233463)
(1.12334e+06 -6.40726e+06 -214221)
(1.27203e+06 -6.41041e+06 -178222)
(407346 -6.24452e+06 -271688)
(544830 -6.31152e+06 -260241)
(696949 -6.35481e+06 -252050)
(848648 -6.3808e+06 -245698)
(1.00895e+06 -6.3989e+06 -233485)
(1.15447e+06 -6.40919e+06 -212019)
(426993 -6.24726e+06 -274969)
(567336 -6.31411e+06 -262652)
(722497 -6.35633e+06 -253921)
(876428 -6.3822e+06 -246668)
(1.03835e+06 -6.40027e+06 -232891)
(1.18379e+06 -6.41034e+06 -209419)
(443859 -6.25122e+06 -276906)
(586925 -6.3177e+06 -264001)
(744885 -6.35908e+06 -254972)
(900827 -6.38452e+06 -247017)
(1.06402e+06 -6.40205e+06 -231856)
(1.20892e+06 -6.41096e+06 -206698)
(340860 -6.23998e+06 -385267)
(445521 -6.30219e+06 -381525)
(563649 -6.34821e+06 -382959)
(683264 -6.38219e+06 -382701)
(807989 -6.40814e+06 -371213)
(923637 -6.42335e+06 -347810)
(358389 -6.24565e+06 -392159)
(465352 -6.30802e+06 -387997)
(586016 -6.35385e+06 -388629)
(707703 -6.38745e+06 -386808)
(833701 -6.41274e+06 -372989)
(949903 -6.4265e+06 -346432)
(375136 -6.25244e+06 -398127)
(484331 -6.31466e+06 -393561)
(607448 -6.35993e+06 -393379)
(731063 -6.39264e+06 -390033)
(858047 -6.41655e+06 -374000)
(974502 -6.42844e+06 -344472)
(268830 -6.17081e+06 -409759)
(389368 -6.26019e+06 -402288)
(500849 -6.32201e+06 -397522)
(626296 -6.36658e+06 -396746)
(751760 -6.39827e+06 -392225)
(879529 -6.42042e+06 -374358)
(995747 -6.42974e+06 -342450)
(330793 -6.18913e+06 -471501)
(410986 -6.24768e+06 -470180)
(498767 -6.29245e+06 -476299)
(587618 -6.33093e+06 -478524)
(680544 -6.3655e+06 -466116)
(765906 -6.38925e+06 -436729)
(345973 -6.19549e+06 -480109)
(427514 -6.25375e+06 -478775)
(517009 -6.29862e+06 -484156)
(607471 -6.33752e+06 -484397)
(701332 -6.37229e+06 -469066)
(786846 -6.39523e+06 -436147)
(268981 -6.11445e+06 -496014)
(360332 -6.20322e+06 -488059)
(443310 -6.26099e+06 -486721)
(534545 -6.30566e+06 -491319)
(626513 -6.34445e+06 -489556)
(720997 -6.37864e+06 -471355)
(806182 -6.39982e+06 -434920)
(279691 -6.12416e+06 -501688)
(372422 -6.21193e+06 -493966)
(456999 -6.26907e+06 -492750)
(549988 -6.31347e+06 -496804)
(643491 -6.35206e+06 -493519)
(738424 -6.38516e+06 -473123)
(822879 -6.40404e+06 -433954)
(337020 -6.15287e+06 -537318)
(400073 -6.21038e+06 -536569)
(464720 -6.25256e+06 -544956)
(529228 -6.28918e+06 -548928)
(597586 -6.32014e+06 -534947)
(662098 -6.33586e+06 -497081)
(281008 -6.06726e+06 -556251)
(350796 -6.15939e+06 -546340)
(414205 -6.21612e+06 -545974)
(479634 -6.25829e+06 -553940)
(545218 -6.29538e+06 -555873)
(614433 -6.32659e+06 -538444)
(678871 -6.34172e+06 -496779)
(293230 -6.07714e+06 -564499)
(363649 -6.16751e+06 -554960)
(427574 -6.22329e+06 -555002)
(493930 -6.26521e+06 -562500)
(560583 -6.30229e+06 -562368)
(630402 -6.33304e+06 -541529)
(694373 -6.34674e+06 -496115)
(303165 -6.08752e+06 -570824)
(374309 -6.17642e+06 -561653)
(439018 -6.23123e+06 -562152)
(506414 -6.27282e+06 -569327)
(574196 -6.30987e+06 -567571)
(644492 -6.33984e+06 -544112)
(707759 -6.35172e+06 -495794)
(293897 -6.03244e+06 -599520)
(350579 -6.12648e+06 -589596)
(404258 -6.18378e+06 -587478)
(455969 -6.22385e+06 -594623)
(504262 -6.25658e+06 -599465)
(557135 -6.28079e+06 -587708)
(610475 -6.28296e+06 -546101)
(306579 -6.04084e+06 -608560)
(363614 -6.13314e+06 -598817)
(417245 -6.18935e+06 -597140)
(468914 -6.22905e+06 -604294)
(517815 -6.26207e+06 -607549)
(571697 -6.28587e+06 -592314)
(625218 -6.2867e+06 -546387)
(318224 -6.05121e+06 -617329)
(375620 -6.1417e+06 -607821)
(429371 -6.19667e+06 -606631)
(481182 -6.23578e+06 -613767)
(530806 -6.26864e+06 -615395)
(585561 -6.29136e+06 -596752)
(638901 -6.29006e+06 -546700)
(327674 -6.06222e+06 -624303)
(385518 -6.15103e+06 -615014)
(439611 -6.20479e+06 -614353)
(491804 -6.24326e+06 -621529)
(542288 -6.27588e+06 -621837)
(597782 -6.29729e+06 -600637)
(650726 -6.29365e+06 -547147)
(317137 -6.01837e+06 -637011)
(365252 -6.11056e+06 -629674)
(413103 -6.16768e+06 -626532)
(459700 -6.20745e+06 -630078)
(498799 -6.23666e+06 -634842)
(540649 -6.25674e+06 -626775)
(588553 -6.25048e+06 -582701)
(329233 -6.02694e+06 -645531)
(377607 -6.1175e+06 -638316)
(425549 -6.17356e+06 -635455)
(471744 -6.21261e+06 -639312)
(510408 -6.24178e+06 -643254)
(553243 -6.26113e+06 -631573)
(602338 -6.25294e+06 -582244)
(340419 -6.03804e+06 -653649)
(389090 -6.12684e+06 -646528)
(437250 -6.18164e+06 -643983)
(483109 -6.21965e+06 -648159)
(521496 -6.24843e+06 -651198)
(565341 -6.26611e+06 -635681)
(615217 -6.25511e+06 -581316)
(349415 -6.04939e+06 -659690)
(398410 -6.13646e+06 -652680)
(446928 -6.1901e+06 -650535)
(492717 -6.2272e+06 -655096)
(530991 -6.25542e+06 -657282)
(576022 -6.27179e+06 -638692)
(626534 -6.25709e+06 -580090)
(334299 -6.01069e+06 -688716)
(379347 -6.09976e+06 -685798)
(424031 -6.15533e+06 -683543)
(469133 -6.1951e+06 -683467)
(507663 -6.22332e+06 -684013)
(545817 -6.23921e+06 -679852)
(588894 -6.22535e+06 -648935)
(346093 -6.01724e+06 -696087)
(391236 -6.10465e+06 -693344)
(436078 -6.15927e+06 -691129)
(480944 -6.19847e+06 -690893)
(518705 -6.2265e+06 -691123)
(557668 -6.24125e+06 -686432)
(602100 -6.22493e+06 -650171)
(357096 -6.02702e+06 -703134)
(402433 -6.1127e+06 -700554)
(447574 -6.16618e+06 -698370)
(492181 -6.20445e+06 -697933)
(529250 -6.2318e+06 -697887)
(568926 -6.24447e+06 -692730)
(614297 -6.22478e+06 -650621)
(365919 -6.03922e+06 -709319)
(411539 -6.12308e+06 -706901)
(457092 -6.17539e+06 -704731)
(501645 -6.21258e+06 -703987)
(538307 -6.23886e+06 -703685)
(578799 -6.24919e+06 -698675)
(624941 -6.22534e+06 -650545)
(1.45147e+06 -6.17401e+06 -25163.9)
(1.51327e+06 -6.15477e+06 -8359.73)
(1.52682e+06 -6.12157e+06 1913.33)
(1.4713e+06 -6.17276e+06 -23571.8)
(1.52902e+06 -6.15265e+06 -7039.04)
(1.5366e+06 -6.11762e+06 2251.62)
(1.53153e+06 -6.07064e+06 13488.3)
(1.46181e+06 -6.01727e+06 25089.5)
(1.44865e+06 -5.98567e+06 1149.57)
(1.40603e+06 -6.1781e+06 -38497.3)
(1.48982e+06 -6.17002e+06 -22197.4)
(1.5434e+06 -6.14874e+06 -6451.04)
(1.5455e+06 -6.11241e+06 1469.73)
(1.53749e+06 -6.06163e+06 14334.6)
(1.46154e+06 -6.00627e+06 25813.4)
(1.45609e+06 -5.97586e+06 -5577.99)
(1.42827e+06 -6.17445e+06 -36850.6)
(1.50701e+06 -6.16454e+06 -20788.9)
(1.55583e+06 -6.14114e+06 -5871.78)
(1.55013e+06 -6.1008e+06 -93.0141)
(1.54291e+06 -6.0473e+06 15743.3)
(1.45571e+06 -5.9888e+06 25305.5)
(1.4712e+06 -5.96931e+06 -9265.01)
(1.39066e+06 -6.40711e+06 -132336)
(1.4797e+06 -6.39588e+06 -74061.5)
(1.48512e+06 -6.31929e+06 -24197.9)
(1.47004e+06 -6.17339e+06 28426.3)
(1.30266e+06 -6.41245e+06 -173428)
(1.41616e+06 -6.40956e+06 -126109)
(1.49555e+06 -6.39593e+06 -65706.9)
(1.49126e+06 -6.2933e+06 -15354.5)
(1.47153e+06 -6.13787e+06 35419.1)
(1.40356e+06 -5.95533e+06 44167.2)
(1.4221e+06 -5.88741e+06 -4717.88)
(1.33088e+06 -6.41301e+06 -168800)
(1.43772e+06 -6.40989e+06 -120695)
(1.50813e+06 -6.3919e+06 -58397)
(1.49469e+06 -6.25963e+06 -7446.67)
(1.47383e+06 -6.10211e+06 40959)
(1.40856e+06 -5.93062e+06 45349.3)
(1.43987e+06 -5.87854e+06 -22799.1)
(1.35417e+06 -6.41261e+06 -164603)
(1.45484e+06 -6.40836e+06 -115935)
(1.51599e+06 -6.38218e+06 -53280.6)
(1.49336e+06 -6.22165e+06 -1999.57)
(1.47596e+06 -6.0681e+06 46316.3)
(1.41087e+06 -5.90676e+06 44148)
(1.45774e+06 -5.87049e+06 -35580.8)
(1.03639e+06 -6.42242e+06 -302922)
(1.13372e+06 -6.39421e+06 -226400)
(1.20428e+06 -6.27268e+06 -115589)
(1.23655e+06 -6.10437e+06 -28054.5)
(1.26519e+06 -6.01302e+06 24060.3)
(1.29924e+06 -5.96627e+06 32494.6)
(1.06312e+06 -6.42491e+06 -296232)
(1.15818e+06 -6.38887e+06 -212815)
(1.22487e+06 -6.24718e+06 -96936.4)
(1.25258e+06 -6.08168e+06 -16233.5)
(1.28121e+06 -6.00196e+06 30130.3)
(1.31932e+06 -5.95589e+06 33493.2)
(1.36303e+06 -5.72008e+06 -51462.6)
(1.08732e+06 -6.42532e+06 -289256)
(1.17926e+06 -6.37815e+06 -199539)
(1.24228e+06 -6.21862e+06 -79980.4)
(1.26733e+06 -6.05803e+06 -5633.58)
(1.29735e+06 -5.98998e+06 34881)
(1.33952e+06 -5.94238e+06 29509.9)
(1.38387e+06 -5.68324e+06 -73646.1)
(1.10723e+06 -6.42476e+06 -283050)
(1.19453e+06 -6.36443e+06 -188727)
(1.25408e+06 -6.18987e+06 -67230.8)
(1.27855e+06 -6.03541e+06 3074.39)
(1.31077e+06 -5.97523e+06 40578.6)
(1.35483e+06 -5.92908e+06 23699.6)
(1.40341e+06 -5.64292e+06 -91201.5)
(844051 -6.38703e+06 -385750)
(907355 -6.32849e+06 -315952)
(976652 -6.21405e+06 -219504)
(1.05567e+06 -6.08827e+06 -125558)
(1.13735e+06 -6.01326e+06 -75052.9)
(1.22884e+06 -5.93052e+06 -50962.5)
(865127 -6.38891e+06 -380486)
(929722 -6.32111e+06 -304743)
(1.00348e+06 -6.19723e+06 -202547)
(1.08385e+06 -6.07444e+06 -112755)
(1.16768e+06 -6.00441e+06 -68452.6)
(1.25728e+06 -5.90852e+06 -50380.5)
(1.30605e+06 -5.4558e+06 -121692)
(884004 -6.38784e+06 -374556)
(949499 -6.31011e+06 -292933)
(1.028e+06 -6.17718e+06 -185970)
(1.11003e+06 -6.05791e+06 -101452)
(1.19563e+06 -5.99207e+06 -63978.8)
(1.28419e+06 -5.87713e+06 -52815.3)
(1.3323e+06 -5.3885e+06 -133174)
(899522 -6.38607e+06 -369684)
(964756 -6.29695e+06 -283002)
(1.04766e+06 -6.15726e+06 -171712)
(1.13172e+06 -6.04045e+06 -91744.4)
(1.21799e+06 -5.97738e+06 -60346.4)
(1.30491e+06 -5.84192e+06 -55817)
(1.35626e+06 -5.32169e+06 -142535)
(717238 -6.32517e+06 -439849)
(760535 -6.27602e+06 -373711)
(808337 -6.1903e+06 -294572)
(872673 -6.06196e+06 -219280)
(954946 -5.92082e+06 -173319)
(1.02473e+06 -5.76338e+06 -160448)
(1.10001e+06 -5.27243e+06 -218084)
(733796 -6.32888e+06 -436247)
(778412 -6.27559e+06 -366631)
(830916 -6.184e+06 -283547)
(901107 -6.04928e+06 -209052)
(985599 -5.90604e+06 -167883)
(1.05536e+06 -5.72897e+06 -160017)
(1.12912e+06 -5.21882e+06 -223608)
(748735 -6.33048e+06 -432131)
(794459 -6.27198e+06 -358836)
(851402 -6.17343e+06 -272455)
(926979 -6.0323e+06 -199881)
(1.01321e+06 -5.88655e+06 -163664)
(1.08544e+06 -5.6871e+06 -160568)
(1.16405e+06 -5.16379e+06 -228879)
(761217 -6.33152e+06 -428963)
(807355 -6.26686e+06 -352264)
(868252 -6.16182e+06 -262476)
(948281 -6.01397e+06 -192436)
(1.03477e+06 -5.86521e+06 -160754)
(1.10835e+06 -5.6457e+06 -161671)
(1.19486e+06 -5.10917e+06 -232519)
(656186 -6.25304e+06 -481079)
(688865 -6.18273e+06 -412625)
(721271 -6.07629e+06 -348637)
(760741 -5.92689e+06 -297965)
(815782 -5.74197e+06 -265008)
(860638 -5.55368e+06 -263127)
(914295 -5.0883e+06 -303012)
(670438 -6.2544e+06 -478723)
(703464 -6.18066e+06 -408933)
(738816 -6.07015e+06 -344037)
(782705 -5.9152e+06 -293952)
(841083 -5.72715e+06 -263519)
(886407 -5.52806e+06 -264736)
(941697 -5.05034e+06 -306637)
(683284 -6.25428e+06 -476499)
(716559 -6.17616e+06 -405268)
(754666 -6.06052e+06 -339597)
(802821 -5.89953e+06 -290389)
(864621 -5.70814e+06 -262371)
(912769 -5.49659e+06 -266097)
(974949 -5.01016e+06 -309174)
(694080 -6.25402e+06 -475005)
(727225 -6.17097e+06 -402441)
(767656 -6.05008e+06 -335775)
(819097 -5.88251e+06 -287523)
(883022 -5.68766e+06 -261669)
(933179 -5.46496e+06 -266782)
(1.0027e+06 -4.96908e+06 -310375)
(633497 -6.20593e+06 -510608)
(667684 -6.11777e+06 -437285)
(699791 -5.99042e+06 -375390)
(731457 -5.81718e+06 -332777)
(765222 -5.58565e+06 -304735)
(790897 -5.36518e+06 -309530)
(813910 -4.95101e+06 -353109)
(647287 -6.20534e+06 -507438)
(681821 -6.11355e+06 -433746)
(715767 -5.98233e+06 -372401)
(749832 -5.80307e+06 -330955)
(786319 -5.56624e+06 -304959)
(812402 -5.34048e+06 -312605)
(838414 -4.92181e+06 -357816)
(659778 -6.20337e+06 -504176)
(694469 -6.10702e+06 -430201)
(730336 -5.9708e+06 -369385)
(767151 -5.7844e+06 -329215)
(806816 -5.54232e+06 -305280)
(835426 -5.31126e+06 -315557)
(868079 -4.89027e+06 -361617)
(670301 -6.20105e+06 -501319)
(704892 -6.09974e+06 -427025)
(742064 -5.95818e+06 -366500)
(780549 -5.76455e+06 -327468)
(822461 -5.5172e+06 -305410)
(853160 -5.28169e+06 -317820)
(893014 -4.85585e+06 -364329)
(631154 -6.17071e+06 -575575)
(665343 -6.07062e+06 -501036)
(696254 -5.9299e+06 -443473)
(724063 -5.74387e+06 -405073)
(743818 -5.49323e+06 -376933)
(759498 -5.26162e+06 -374007)
(752738 -4.88065e+06 -390710)
(644783 -6.16677e+06 -573536)
(679626 -6.06256e+06 -499434)
(712069 -5.91758e+06 -443323)
(741370 -5.72546e+06 -405998)
(763131 -5.46848e+06 -378891)
(778984 -5.23355e+06 -377601)
(774721 -4.85298e+06 -394608)
(657045 -6.16214e+06 -571205)
(692271 -6.05296e+06 -497811)
(726176 -5.90281e+06 -443107)
(757446 -5.70343e+06 -406834)
(781799 -5.44037e+06 -380673)
(800195 -5.20251e+06 -380981)
(801484 -4.82424e+06 -398187)
(667503 -6.15769e+06 -569180)
(702921 -6.04285e+06 -496461)
(737747 -5.88682e+06 -442863)
(770003 -5.67984e+06 -407388)
(796128 -5.41077e+06 -382014)
(816965 -5.17063e+06 -383718)
(824060 -4.7944e+06 -401202)
)
;
