internalField   nonuniform List<vector>
1280
(
(12695.5 -5.79424e+06 1.04244e+06)
(55566.9 -5.69782e+06 266259)
(105439 -5.57328e+06 -327444)
(138475 -5.56127e+06 -578486)
(177584 -5.63072e+06 -612297)
(219731 -5.81843e+06 -615296)
(263644 -5.98799e+06 -601713)
(27968.8 -5.79551e+06 1.03089e+06)
(69975.1 -5.6965e+06 250101)
(123935 -5.57414e+06 -346329)
(157184 -5.56238e+06 -589369)
(196430 -5.63791e+06 -624984)
(238500 -5.83019e+06 -627203)
(282718 -5.99722e+06 -613567)
(36491.2 -5.79738e+06 1.01787e+06)
(77746.2 -5.69594e+06 240069)
(133559 -5.57545e+06 -356594)
(167486 -5.56397e+06 -597849)
(206253 -5.64272e+06 -631787)
(248013 -5.83726e+06 -633549)
(292201 -6.00281e+06 -619962)
(146572 -5.57753e+06 -370841)
(180041 -5.56627e+06 -607101)
(219905 -5.65013e+06 -641255)
(261405 -5.84786e+06 -642610)
(35692 -5.77071e+06 951704)
(62181.1 -5.63029e+06 141783)
(150389 -5.54874e+06 -403314)
(157840 -5.55398e+06 -618853)
(198931 -5.62853e+06 -660902)
(236925 -5.81957e+06 -663825)
(280674 -5.98567e+06 -657559)
(44965.9 -5.76705e+06 924834)
(74341.5 -5.6235e+06 115100)
(163448 -5.54805e+06 -423657)
(175258 -5.55422e+06 -630362)
(216733 -5.63497e+06 -670496)
(255512 -5.83036e+06 -672529)
(49882.5 -5.76391e+06 900617)
(81012.5 -5.62045e+06 100230)
(173316 -5.54797e+06 -435131)
(185076 -5.55503e+06 -638769)
(226778 -5.6395e+06 -677536)
(265335 -5.83706e+06 -679137)
(196879 -5.55615e+06 -648065)
(239134 -5.64565e+06 -685030)
(277870 -5.84615e+06 -686243)
(339017 -6.07964e+06 -104626)
(510539 -6.1151e+06 -98395.7)
(675063 -6.14519e+06 -88048.9)
(831251 -6.16736e+06 -78856)
(984056 -6.18247e+06 -71685.7)
(1.12874e+06 -6.18985e+06 -61790.2)
(1.25998e+06 -6.19039e+06 -47390.3)
(368271 -6.07702e+06 -107484)
(539623 -6.11279e+06 -99618.9)
(704652 -6.14296e+06 -88891.9)
(861583 -6.16511e+06 -79413.6)
(1.0147e+06 -6.18005e+06 -71711.4)
(1.15865e+06 -6.18719e+06 -60865.6)
(1.2874e+06 -6.18755e+06 -45886)
(385311 -6.07441e+06 -108786)
(559803 -6.11035e+06 -100259)
(727536 -6.14049e+06 -89301.3)
(886347 -6.16271e+06 -79570.2)
(1.04071e+06 -6.1776e+06 -71485.6)
(1.18471e+06 -6.18471e+06 -60025.7)
(1.312e+06 -6.18513e+06 -44675.8)
(406378 -6.07164e+06 -110346)
(582070 -6.10812e+06 -100929)
(751848 -6.1382e+06 -89712.5)
(912118 -6.16045e+06 -79678)
(1.0674e+06 -6.17529e+06 -71130.2)
(1.21104e+06 -6.18245e+06 -58977.9)
(1.33648e+06 -6.18296e+06 -43231.8)
(305802 -6.23517e+06 -246724)
(426152 -6.30001e+06 -240365)
(561402 -6.34836e+06 -234941)
(698764 -6.37465e+06 -232946)
(846115 -6.39189e+06 -228683)
(987613 -6.40186e+06 -217805)
(1.13259e+06 -6.40597e+06 -194275)
(332735 -6.23791e+06 -254697)
(458103 -6.30354e+06 -246688)
(598167 -6.35029e+06 -240611)
(739810 -6.37602e+06 -237673)
(891385 -6.39315e+06 -231513)
(1.03468e+06 -6.403e+06 -218123)
(1.18094e+06 -6.40669e+06 -190501)
(347354 -6.23928e+06 -258276)
(475206 -6.30522e+06 -249609)
(617702 -6.35131e+06 -243107)
(761552 -6.37701e+06 -239521)
(915209 -6.39421e+06 -232220)
(1.05916e+06 -6.40409e+06 -217356)
(1.20639e+06 -6.40759e+06 -187448)
(368282 -6.24129e+06 -263353)
(499690 -6.30767e+06 -253711)
(645638 -6.3526e+06 -246650)
(792428 -6.37825e+06 -242131)
(948732 -6.39555e+06 -233160)
(1.09352e+06 -6.40548e+06 -216041)
(1.2415e+06 -6.40871e+06 -182882)
(270820 -6.21655e+06 -353879)
(365005 -6.27794e+06 -351450)
(472065 -6.32425e+06 -355579)
(581292 -6.35927e+06 -360798)
(697854 -6.38743e+06 -358010)
(808423 -6.40986e+06 -345844)
(915345 -6.41564e+06 -320353)
(294271 -6.22435e+06 -365284)
(392082 -6.28607e+06 -362419)
(502883 -6.33234e+06 -365754)
(615790 -6.36703e+06 -369351)
(735428 -6.39458e+06 -363843)
(847934 -6.41367e+06 -348317)
(957295 -6.41733e+06 -317020)
(306852 -6.22858e+06 -370744)
(406581 -6.2904e+06 -367680)
(519400 -6.33659e+06 -370524)
(634204 -6.37108e+06 -373122)
(755278 -6.39816e+06 -366056)
(868719 -6.4164e+06 -348556)
(979186 -6.41877e+06 -313803)
(324927 -6.23485e+06 -378658)
(427287 -6.29685e+06 -375239)
(542928 -6.34292e+06 -377364)
(660309 -6.3771e+06 -378491)
(783410 -6.40353e+06 -369141)
(898039 -6.41989e+06 -348640)
(1.0099e+06 -6.42039e+06 -308701)
(268534 -6.16353e+06 -434818)
(342955 -6.2234e+06 -433161)
(423522 -6.2678e+06 -441172)
(504462 -6.30443e+06 -449839)
(590722 -6.33773e+06 -448103)
(672683 -6.36379e+06 -431915)
(748095 -6.37461e+06 -398109)
(289728 -6.17179e+06 -447646)
(366061 -6.23123e+06 -446129)
(448911 -6.27568e+06 -453639)
(532533 -6.31287e+06 -460390)
(621257 -6.34666e+06 -455275)
(704707 -6.37225e+06 -434881)
